date,store id,product id,category,location,inventory level,units sold,units ordered,demand forecast,price,discount,weather condition,holiday/promotion,competitor pricing,seasonality,record_id,region,city,state,country,store_name
2025-01-01,S002,P0025,Home Appliances,West,1494.198,152.646,159.626,161.34,57.9,26.57,Rainy,0.0,55.26,Winter,live-1775069661-001,West,Surat,Gujarat,India,Retail Hub 2
2025-01-01,S001,P0014,Clothing,West,1561.458,142.643,160.005,151.65,72.15,26.92,Sunny,0.0,68.46,Winter,live-1775069661-002,West,Pune,Maharashtra,India,Retail Hub 1
2025-01-01,S001,P0023,Pharmaceuticals,East,1393.171,148.769,148.769,155.44,56.02,10.31,Cloudy,0.0,55.29,Winter,live-1775069661-003,East,Bhubaneswar,Odisha,India,Retail Hub 1
2025-01-01,S003,P0013,Groceries,North,1719.865,130.164,134.847,140.01,63.49,5.73,Sunny,1.0,62.18,Winter,live-1775069661-004,North,New Delhi,Delhi,India,Retail Hub 3
2025-01-01,S004,P0011,Groceries,North,1422.741,131.291,131.291,133.44,85.2,5.27,Cloudy,1.0,87.2,Winter,live-1775072086-001,North,Dehradun,Uttarakhand,India,Retail Hub 4
2024-01-01,S006,P0009,Toys,South,112.171,51.86,109.198,53.62,32.62,1.3,Rainy,0.0,32.99,Winter,live-1775072086-002,South,Bengaluru,Karnataka,India,Retail Hub
2025-01-01,S001,P0027,Beauty & Personal Care,East,1739.18,144.094,163.067,154.43,55.42,2.61,Rainy,0.0,53.0,Winter,live-1775072086-003,East,Kolkata,West Bengal,India,Retail Hub 1
2024-01-01,S004,P0008,Electronics,South,214.164,17.469,226.358,17.77,64.76,5.39,Sunny,0.0,65.25,Winter,live-1775072086-004,South,Hyderabad,Telangana,India,Retail Hub 4
2025-01-02,S001,P0023,Pharmaceuticals,East,1330.088,139.715,155.707,150.59,57.0,11.05,Cloudy,0.0,58.51,Winter,live-1775109907-001,East,Bhubaneswar,Odisha,India,Retail Hub 1
2024-01-01,S004,P0007,Electronics,East,182.977,56.256,58.378,57.7,54.94,8.75,Sunny,0.0,51.87,Winter,live-1775109907-002,East,Patna,Bihar,India,Retail Hub 4
2025-01-01,S006,Automotive Parts,Automotive Parts,East,276.24,188.191,198.657,191.49,69.42,11.66,Sunny,0.0,69.14,Winter,live-1775109907-003,Nan,Unknown,Unknown,India,Retail Hub
2025-01-01,S001,P0015,Toys,South,1821.106,130.954,161.157,141.13,68.29,0.01,Sunny,0.0,70.31,Winter,live-1775109907-004,South,Chennai,Tamil Nadu,India,Retail Hub 1
2025-01-01,S006,P0003,Clothing,South,1328.716,119.261,119.261,125.77,78.95,3.5,Rainy,1.0,76.55,Winter,live-1775109961-001,South,Chennai,Tamil Nadu,India,Retail Hub
