date,store id,product id,category,location,inventory level,units sold,units ordered,demand forecast,price,discount,weather condition,holiday/promotion,competitor pricing,seasonality,record_id,region,city,state,country,store_name
2024-01-01,S004,P0007,Electronics,East,182.977,56.256,58.378,57.7,54.94,8.75,Sunny,0.0,51.87,Winter,live-1775109907-002,East,Patna,Bihar,India,Retail Hub 4
2025-01-01,S001,P0015,Toys,South,1821.106,130.954,161.157,141.13,68.29,0.01,Sunny,0.0,70.31,Winter,live-1775109907-004,South,Chennai,Tamil Nadu,India,Retail Hub 1
2025-01-01,S003,P0005,Electronics,West,2023.247,156.48,166.202,159.61,82.0,23.55,Snowy,0.0,80.03,Winter,live-1775109961-002,West,Ahmedabad,Gujarat,India,Retail Hub 3
2025-01-01,S001,P0002,Groceries,North,1342.645,147.27,147.27,156.51,33.15,15.9,Snowy,0.0,33.22,Winter,live-1775109961-004,North,Dehradun,Uttarakhand,India,Retail Hub 1
2025-01-01,S006,P0021,EV Vehicles,East,1330.35,94.608,108.8,97.82,49.11,0.24,Cloudy,0.0,49.09,Winter,live-1775110009-002,East,Bhubaneswar,Odisha,India,Retail Hub
2025-01-01,S001,P0006,Toys,East,1589.305,136.835,143.377,138.31,42.18,25.32,Snowy,0.0,39.8,Winter,live-1775110009-003,East,Ranchi,Jharkhand,India,Retail Hub 1
2023-12-31,S003,P0008,Groceries,West,325.172,257.751,257.751,275.67,86.64,0.0,Snowy,1.0,88.71,Winter,live-1775110049-002,West,Panaji,Goa,India,Retail Hub 3
2025-01-01,S003,P0020,Groceries,East,1998.146,132.992,158.51,138.64,77.57,15.8,Rainy,0.0,78.89,Winter,live-1775110049-004,East,Bhubaneswar,Odisha,India,Retail Hub 3
2025-01-01,S003,P0002,Groceries,North,1685.138,131.309,159.916,137.82,61.13,12.68,Cloudy,0.0,60.35,Winter,live-1775110089-001,North,Chandigarh,Chandigarh,India,Retail Hub 3
2025-01-01,S001,P0014,Electronics,West,1740.419,136.891,157.1,141.63,70.33,17.71,Sunny,0.0,72.54,Winter,live-1775110089-002,West,Ahmedabad,Gujarat,India,Retail Hub 1
2025-01-01,S006,P0008,Furniture,West,1738.306,129.312,129.312,139.47,79.79,0.38,Sunny,0.0,79.57,Winter,live-1775110089-003,West,Surat,Gujarat,India,Retail Hub
2025-01-01,S004,P0018,Electronics,North,1584.291,163.781,163.781,175.73,29.01,22.1,Snowy,0.0,27.61,Winter,live-1775110089-004,North,Jaipur,Rajasthan,India,Retail Hub 4
2025-01-01,S004,P0018,Clothing,West,1892.921,186.895,186.895,201.77,11.38,2.01,Cloudy,1.0,10.82,Winter,live-1775110121-001,West,Panaji,Goa,India,Retail Hub 4
2025-01-01,S006,P0020,Groceries,West,1848.064,102.898,127.69,111.09,57.1,0.97,Cloudy,0.0,54.96,Winter,live-1775110121-003,West,Ahmedabad,Gujarat,India,Retail Hub
2025-01-01,S006,P0026,Sports Equipment,East,1343.568,126.321,132.855,127.65,63.94,7.86,Sunny,0.0,66.29,Winter,live-1775110161-002,East,Guwahati,Assam,India,Retail Hub
2025-01-01,S006,P0018,Electronics,East,1486.612,98.327,128.508,103.12,25.26,20.57,Sunny,0.0,25.07,Winter,live-1775110161-003,East,Kolkata,West Bengal,India,Retail Hub
2023-12-31,S002,P0003,Furniture,South,265.79,107.568,107.568,110.69,63.48,0.0,Snowy,0.0,60.54,Winter,live-1775110161-004,South,Bengaluru,Karnataka,India,Retail Hub 2
2024-01-01,S002,P0012,Furniture,North,399.46,27.223,124.537,27.93,40.68,0.0,Rainy,0.0,42.63,Winter,live-1775110242-002,North,New Delhi,Delhi,India,Retail Hub 2
2024-01-01,S005,P0008,Electronics,South,233.587,20.052,225.988,21.3,64.5,4.33,Sunny,0.0,62.38,Winter,live-1775110242-003,South,Hyderabad,Telangana,India,Retail Hub 5
2025-01-01,S006,P0029,Office Supplies,South,1333.164,152.839,152.839,164.77,68.83,10.71,Rainy,0.0,64.81,Winter,live-1775110283-002,South,Hyderabad,Telangana,India,Retail Hub
2024-01-01,S003,P0020,Furniture,South,333.324,176.745,176.745,179.34,92.51,12.44,Cloudy,0.0,87.37,Winter,live-1775110283-003,South,Chennai,Tamil Nadu,India,Retail Hub 3
2025-01-01,S005,P0007,Groceries,South,1726.854,167.022,191.017,172.06,62.04,0.0,Cloudy,0.0,61.72,Winter,live-1775110361-002,South,Coimbatore,Tamil Nadu,India,Retail Hub 5
2025-01-01,S003,P0027,Beauty & Personal Care,East,1889.249,172.081,172.818,180.54,56.5,2.83,Rainy,0.0,54.48,Winter,live-1775110361-003,East,Kolkata,West Bengal,India,Retail Hub 3
2025-01-01,S002,P0020,Toys,West,1874.913,130.789,162.207,134.98,30.41,22.85,Sunny,0.0,28.73,Winter,live-1775110361-004,West,Surat,Gujarat,India,Retail Hub 2
2023-12-30,S002,P0007,Toys,North,360.59,69.758,69.758,75.19,45.0,13.0,Rainy,0.0,46.08,Winter,live-1775110420-004,North,New Delhi,Delhi,India,Retail Hub 2
2025-01-01,S002,P0019,Toys,East,1725.101,142.711,147.103,150.87,50.45,20.16,Snowy,0.0,50.79,Winter,live-1775110477-001,East,Guwahati,Assam,India,Retail Hub 2
2023-12-31,S001,P0011,Clothing,North,328.331,320.317,320.317,339.94,70.08,19.18,Snowy,0.0,67.12,Winter,live-1775110477-002,North,Lucknow,Uttar Pradesh,India,Retail Hub 1
2025-01-01,S005,P0016,Furniture,East,1907.639,175.152,182.739,179.94,58.12,15.21,Cloudy,0.0,60.81,Winter,live-1775110477-004,East,Patna,Bihar,India,Retail Hub 5
2025-01-01,S001,P0013,Electronics,West,1296.377,109.229,123.631,115.22,89.14,13.91,Rainy,0.0,89.74,Winter,live-1775110539-001,West,Surat,Gujarat,India,Retail Hub 1
2023-12-31,S005,P0013,Clothing,North,312.688,261.806,261.806,271.71,79.35,4.78,Cloudy,0.0,77.26,Winter,live-1775110539-004,North,Chandigarh,Chandigarh,India,Retail Hub 5
2025-01-01,S006,P0020,Toys,West,1646.683,114.397,139.74,122.32,30.63,20.93,Sunny,0.0,31.03,Winter,live-1775110617-001,West,Surat,Gujarat,India,Retail Hub
2024-01-01,S001,P0012,Groceries,West,105.624,66.178,74.401,70.85,67.46,21.41,Sunny,0.0,66.84,Winter,live-1775110617-003,West,Surat,Gujarat,India,Retail Hub 1
2024-01-01,S002,P0008,Furniture,South,307.976,14.987,146.094,15.15,36.22,11.49,Rainy,0.0,34.13,Winter,live-1775110669-001,South,Chennai,Tamil Nadu,India,Retail Hub 2
2025-01-01,S005,P0004,Furniture,South,1622.132,131.849,131.849,141.11,46.41,33.27,Snowy,0.0,45.82,Winter,live-1775110669-002,South,Kochi,Kerala,India,Retail Hub 5
2025-01-01,S005,P0022,Semiconductors,West,1638.509,146.518,160.904,152.96,56.42,8.12,Sunny,0.0,57.37,Winter,live-1775110669-004,West,Surat,Gujarat,India,Retail Hub 5
2024-01-01,S001,P0009,Toys,South,128.813,51.199,122.522,53.06,31.42,0.38,Rainy,0.0,31.03,Winter,live-1775110728-001,South,Bengaluru,Karnataka,India,Retail Hub 1
2024-01-01,S005,P0008,Furniture,South,359.687,17.625,157.366,18.59,36.11,11.68,Rainy,0.0,34.46,Winter,live-1775110728-002,South,Chennai,Tamil Nadu,India,Retail Hub 5
2025-01-01,S003,P0006,Furniture,North,1905.573,118.137,118.137,122.35,65.43,25.27,Snowy,0.0,64.87,Winter,live-1775110728-004,North,Dehradun,Uttarakhand,India,Retail Hub 3
2025-01-01,S002,P0006,Furniture,North,1866.158,124.578,124.578,131.34,66.09,24.83,Snowy,1.0,63.14,Winter,live-1775110780-004,North,Dehradun,Uttarakhand,India,Retail Hub 2
2025-01-01,S002,P0025,Home Appliances,West,1494.198,152.646,159.626,161.34,57.9,26.57,Rainy,0.0,55.26,Winter,live-1775069661-001,West,Surat,Gujarat,India,Retail Hub 2
2025-01-01,S001,P0014,Clothing,West,1561.458,142.643,160.005,151.65,72.15,26.92,Sunny,0.0,68.46,Winter,live-1775069661-002,West,Pune,Maharashtra,India,Retail Hub 1
2025-01-01,S001,P0023,Pharmaceuticals,East,1393.171,148.769,148.769,155.44,56.02,10.31,Cloudy,0.0,55.29,Winter,live-1775069661-003,East,Bhubaneswar,Odisha,India,Retail Hub 1
2025-01-01,S003,P0013,Groceries,North,1719.865,130.164,134.847,140.01,63.49,5.73,Sunny,1.0,62.18,Winter,live-1775069661-004,North,New Delhi,Delhi,India,Retail Hub 3
2025-01-01,S004,P0011,Groceries,North,1422.741,131.291,131.291,133.44,85.2,5.27,Cloudy,1.0,87.2,Winter,live-1775072086-001,North,Dehradun,Uttarakhand,India,Retail Hub 4
2024-01-01,S006,P0009,Toys,South,112.171,51.86,109.198,53.62,32.62,1.3,Rainy,0.0,32.99,Winter,live-1775072086-002,South,Bengaluru,Karnataka,India,Retail Hub
2025-01-01,S001,P0027,Beauty & Personal Care,East,1739.18,144.094,163.067,154.43,55.42,2.61,Rainy,0.0,53.0,Winter,live-1775072086-003,East,Kolkata,West Bengal,India,Retail Hub 1
2024-01-01,S004,P0008,Electronics,South,214.164,17.469,226.358,17.77,64.76,5.39,Sunny,0.0,65.25,Winter,live-1775072086-004,South,Hyderabad,Telangana,India,Retail Hub 4
2025-01-01,S005,P0024,Automotive Parts,East,1875.781,171.279,171.279,184.92,53.49,9.69,Snowy,0.0,52.56,Winter,live-1775113498-001,East,Guwahati,Assam,India,Retail Hub 5
2025-01-01,S003,P0027,Beauty & Personal Care,South,1873.766,152.008,188.855,156.99,69.85,19.14,Sunny,0.0,70.68,Winter,live-1775113498-002,South,Hyderabad,Telangana,India,Retail Hub 3
2023-12-31,S003,P0013,Clothing,North,275.702,208.12,208.12,212.44,77.48,6.82,Cloudy,0.0,73.37,Winter,live-1775113498-003,North,Chandigarh,Chandigarh,India,Retail Hub 3
2025-01-01,S006,P0021,EV Vehicles,East,1178.175,125.211,144.324,129.56,59.47,19.07,Cloudy,0.0,61.87,Winter,live-1775113498-004,East,Kolkata,West Bengal,India,Retail Hub
2025-01-01,S005,P0018,Electronics,North,1695.198,174.181,174.181,186.64,29.89,23.5,Snowy,0.0,29.77,Winter,live-1775113498-005,North,Jaipur,Rajasthan,India,Retail Hub 5
2024-01-01,S005,P0008,Furniture,East,182.259,102.55,168.851,109.21,58.78,16.9,Snowy,0.0,59.92,Winter,live-1775113498-006,East,Kolkata,West Bengal,India,Retail Hub 5
2024-01-01,S001,P0010,Groceries,North,145.141,45.528,45.528,48.14,21.4,10.74,Snowy,0.0,20.39,Winter,live-1775113498-007,North,Lucknow,Uttar Pradesh,India,Retail Hub 1
2025-01-01,S002,P0025,Home Appliances,East,1736.783,153.479,156.977,157.44,56.1,16.82,Rainy,0.0,54.46,Winter,live-1775113498-008,East,Bhubaneswar,Odisha,India,Retail Hub 2
2025-01-01,S002,P0030,Industrial Tools,East,1894.285,173.669,173.669,178.53,60.45,21.94,Sunny,0.0,62.73,Winter,live-1775113498-009,East,Kolkata,West Bengal,India,Retail Hub 2
2025-01-01,S002,P0029,Office Supplies,South,1596.139,174.797,174.797,177.68,71.63,12.87,Rainy,0.0,69.99,Winter,live-1775113498-010,South,Hyderabad,Telangana,India,Retail Hub 2
2025-01-01,S001,P0028,Pet Supplies,South,1982.481,150.719,196.852,158.8,67.32,17.69,Snowy,0.0,63.78,Winter,live-1775113498-011,South,Hyderabad,Telangana,India,Retail Hub 1
2025-01-01,S001,P0023,Pharmaceuticals,South,1359.527,150.265,153.588,154.26,53.96,20.22,Snowy,0.0,54.24,Winter,live-1775113498-012,South,Hyderabad,Telangana,India,Retail Hub 1
2025-01-01,S001,P0022,Semiconductors,East,1386.671,131.272,151.294,137.82,62.45,12.78,Snowy,0.0,59.42,Winter,live-1775113498-013,East,Bhubaneswar,Odisha,India,Retail Hub 1
2025-01-01,S002,P0026,Sports Equipment,East,1580.091,155.047,165.833,164.85,58.52,13.84,Snowy,1.0,60.66,Winter,live-1775113498-014,East,Kolkata,West Bengal,India,Retail Hub 2
2025-01-01,S005,P0019,Toys,East,2067.744,165.74,170.989,167.96,52.06,23.93,Snowy,0.0,54.1,Winter,live-1775113498-015,East,Guwahati,Assam,India,Retail Hub 5
2025-01-01,S002,P0024,Automotive Parts,South,1262.053,158.489,158.489,162.61,65.03,3.37,Cloudy,1.0,63.44,Winter,live-1775113543-001,South,Hyderabad,Telangana,India,Retail Hub 2
2025-01-01,S001,P0027,Beauty & Personal Care,East,1185.017,141.677,152.366,152.34,59.16,8.36,Rainy,0.0,61.53,Winter,live-1775113543-002,East,Guwahati,Assam,India,Retail Hub 1
2024-01-01,S002,P0019,Clothing,South,284.574,171.462,188.262,183.41,92.54,6.59,Snowy,0.0,91.15,Winter,live-1775113543-003,South,Hyderabad,Telangana,India,Retail Hub 2
