Date,Product ID,Store ID,Actual_Demand,Predicted_Demand
2022-01-02,P0001,S001,81,132.44
2022-01-03,P0001,S001,5,144.52
2022-01-04,P0001,S001,58,146.03
2022-01-05,P0001,S001,147,138.48
2022-01-06,P0001,S001,37,141.45
2022-01-07,P0001,S001,107,138.64
2022-01-08,P0001,S001,2,144.8
2022-01-09,P0001,S001,350,131.96
2022-01-10,P0001,S001,36,127.53
2022-01-11,P0001,S001,16,131.27
2022-01-12,P0001,S001,104,141.3
2022-01-13,P0001,S001,80,133.25
2022-01-14,P0001,S001,177,149.63
2022-01-15,P0001,S001,176,144.76
2022-01-16,P0001,S001,97,131.08
2022-01-17,P0001,S001,69,140.52
2022-01-18,P0001,S001,123,147.46
2022-01-19,P0001,S001,211,145.55
2022-01-20,P0001,S001,79,123.0
2022-01-21,P0001,S001,390,132.85
2022-01-22,P0001,S001,191,134.72
2022-01-23,P0001,S001,79,132.96
2022-01-24,P0001,S001,9,144.7
2022-01-25,P0001,S001,189,134.87
2022-01-26,P0001,S001,49,134.94
2022-01-27,P0001,S001,164,140.88
2022-01-28,P0001,S001,97,141.52
2022-01-29,P0001,S001,47,146.55
2022-01-30,P0001,S001,130,141.24
2022-01-31,P0001,S001,200,135.47
2022-02-01,P0001,S001,279,127.66
2022-02-02,P0001,S001,38,132.29
2022-02-03,P0001,S001,71,138.64
2022-02-04,P0001,S001,25,133.67
2022-02-05,P0001,S001,350,140.8
2022-02-06,P0001,S001,69,134.28
2022-02-07,P0001,S001,62,127.76
2022-02-08,P0001,S001,12,140.81
2022-02-09,P0001,S001,16,140.91
2022-02-10,P0001,S001,237,143.13
2022-02-11,P0001,S001,203,124.39
2022-02-12,P0001,S001,29,140.56
2022-02-13,P0001,S001,149,144.57
2022-02-14,P0001,S001,259,145.06
2022-02-15,P0001,S001,111,132.36
2022-02-16,P0001,S001,373,139.63
2022-02-17,P0001,S001,31,130.3
2022-02-18,P0001,S001,27,134.89
2022-02-19,P0001,S001,27,137.9
2022-02-20,P0001,S001,166,142.47
2022-02-21,P0001,S001,337,144.64
2022-02-22,P0001,S001,191,128.94
2022-02-23,P0001,S001,129,133.89
2022-02-24,P0001,S001,177,132.0
2022-02-25,P0001,S001,214,133.42
2022-02-26,P0001,S001,106,135.72
2022-02-27,P0001,S001,68,134.04
2022-02-28,P0001,S001,344,144.77
2022-03-01,P0001,S001,28,124.51
2022-03-02,P0001,S001,93,142.08
2022-03-03,P0001,S001,36,125.44
2022-03-04,P0001,S001,284,137.21
2022-03-05,P0001,S001,282,130.04
2022-03-06,P0001,S001,192,136.54
2022-03-07,P0001,S001,348,142.25
2022-03-08,P0001,S001,32,146.72
2022-03-09,P0001,S001,26,135.76
2022-03-10,P0001,S001,147,133.35
2022-03-11,P0001,S001,141,135.64
2022-03-12,P0001,S001,194,141.7
2022-03-13,P0001,S001,95,144.9
2022-03-14,P0001,S001,74,138.73
2022-03-15,P0001,S001,78,145.83
2022-03-16,P0001,S001,230,132.5
2022-03-17,P0001,S001,89,133.89
2022-03-18,P0001,S001,150,139.05
2022-03-19,P0001,S001,285,135.12
2022-03-20,P0001,S001,40,133.49
2022-03-21,P0001,S001,58,145.11
2022-03-22,P0001,S001,114,138.77
2022-03-23,P0001,S001,21,138.67
2022-03-24,P0001,S001,35,128.68
2022-03-25,P0001,S001,31,132.12
2022-03-26,P0001,S001,4,148.85
2022-03-27,P0001,S001,289,143.65
2022-03-28,P0001,S001,49,132.67
2022-03-29,P0001,S001,3,138.23
2022-03-30,P0001,S001,136,130.15
2022-03-31,P0001,S001,85,133.93
2022-04-01,P0001,S001,101,131.26
2022-04-02,P0001,S001,70,145.19
2022-04-03,P0001,S001,32,140.05
2022-04-04,P0001,S001,54,141.71
2022-04-05,P0001,S001,165,145.14
2022-04-06,P0001,S001,158,131.07
2022-04-07,P0001,S001,26,134.5
2022-04-08,P0001,S001,130,136.31
2022-04-09,P0001,S001,121,142.53
2022-04-10,P0001,S001,282,142.85
2022-04-11,P0001,S001,358,128.66
2022-04-12,P0001,S001,238,140.07
2022-04-13,P0001,S001,279,140.18
2022-04-14,P0001,S001,108,145.46
2022-04-15,P0001,S001,32,145.34
2022-04-16,P0001,S001,183,142.6
2022-04-17,P0001,S001,365,136.68
2022-04-18,P0001,S001,47,138.62
2022-04-19,P0001,S001,41,143.3
2022-04-20,P0001,S001,51,136.21
2022-04-21,P0001,S001,107,139.26
2022-04-22,P0001,S001,405,147.48
2022-04-23,P0001,S001,212,132.34
2022-04-24,P0001,S001,14,132.23
2022-04-25,P0001,S001,45,139.76
2022-04-26,P0001,S001,452,133.89
2022-04-27,P0001,S001,288,132.98
2022-04-28,P0001,S001,334,133.6
2022-04-29,P0001,S001,27,125.71
2022-04-30,P0001,S001,149,137.45
2022-05-01,P0001,S001,0,133.78
2022-05-02,P0001,S001,1,131.22
2022-05-03,P0001,S001,18,142.87
2022-05-04,P0001,S001,127,139.45
2022-05-05,P0001,S001,49,136.12
2022-05-06,P0001,S001,26,144.73
2022-05-07,P0001,S001,39,145.85
2022-05-08,P0001,S001,6,131.84
2022-05-09,P0001,S001,173,141.77
2022-05-10,P0001,S001,19,140.31
2022-05-11,P0001,S001,19,133.31
2022-05-12,P0001,S001,10,141.49
2022-05-13,P0001,S001,357,129.18
2022-05-14,P0001,S001,226,135.22
2022-05-15,P0001,S001,213,130.59
2022-05-16,P0001,S001,121,146.49
