date,store id,product id,category,location,inventory level,units sold,units ordered,demand forecast,price,discount,weather condition,holiday/promotion,competitor pricing,seasonality
01-01-2022,S001,P0001,Groceries,North,231.0,127.0,55.0,135.47,33.5,20.0,Rainy,0.0,29.69,Autumn
01-01-2022,S001,P0002,Toys,South,204.0,150.0,66.0,144.04,63.01,20.0,Sunny,0.0,66.16,Autumn
01-01-2022,S001,P0003,Toys,West,102.0,65.0,51.0,74.02,27.99,10.0,Sunny,1.0,31.32,Summer
01-01-2022,S001,P0004,Toys,North,469.0,61.0,164.0,62.18,32.72,10.0,Cloudy,1.0,34.74,Autumn
01-01-2022,S001,P0005,Electronics,East,166.0,14.0,135.0,9.26,73.64,0.0,Sunny,0.0,68.95,Summer
01-01-2022,S001,P0006,Groceries,South,138.0,128.0,102.0,139.82,76.83,10.0,Sunny,1.0,79.35,Winter
01-01-2022,S001,P0007,Furniture,East,359.0,97.0,167.0,108.92,34.16,10.0,Rainy,1.0,36.55,Winter
01-01-2022,S001,P0008,Clothing,North,380.0,312.0,54.0,329.73,97.99,5.0,Cloudy,0.0,100.09,Spring
01-01-2022,S001,P0009,Electronics,West,183.0,175.0,135.0,174.15,20.74,10.0,Cloudy,0.0,17.66,Autumn
01-01-2022,S001,P0010,Toys,South,108.0,28.0,196.0,24.47,59.99,0.0,Rainy,1.0,61.21,Winter
01-01-2022,S001,P0011,Furniture,South,258.0,150.0,153.0,152.74,58.53,10.0,Sunny,1.0,61.42,Spring
01-01-2022,S001,P0012,Clothing,West,66.0,24.0,70.0,26.75,58.25,20.0,Snowy,0.0,62.21,Spring
01-01-2022,S001,P0013,Toys,South,96.0,42.0,85.0,41.46,43.6,0.0,Cloudy,0.0,46.31,Spring
01-01-2022,S001,P0014,Clothing,West,193.0,12.0,187.0,6.8,78.11,0.0,Sunny,0.0,80.06,Spring
01-01-2022,S001,P0015,Clothing,North,379.0,369.0,154.0,363.46,92.99,15.0,Snowy,0.0,95.8,Winter
01-01-2022,S001,P0016,Electronics,North,363.0,255.0,69.0,255.74,21.9,5.0,Cloudy,1.0,20.27,Autumn
01-01-2022,S001,P0017,Toys,West,318.0,246.0,177.0,255.37,21.07,20.0,Sunny,0.0,16.49,Winter
01-01-2022,S001,P0018,Clothing,South,241.0,151.0,47.0,147.27,19.57,5.0,Cloudy,0.0,23.13,Autumn
01-01-2022,S001,P0019,Clothing,East,352.0,257.0,186.0,267.38,73.28,10.0,Cloudy,0.0,77.26,Winter
01-01-2022,S001,P0020,Toys,East,274.0,99.0,166.0,115.23,30.24,5.0,Cloudy,0.0,27.1,Spring
