date,category,store_id,category.1,units sold,price,discount,holiday,product_id,units_sold
01-01-2023,P001,S001,Groceries,120,50.0,5.0,0.0,,
02-01-2023,P001,S001,Groceries,135,50.0,0.0,0.0,,
03-01-2023,P001,S001,Groceries,150,50.0,10.0,0.0,,
04-01-2023,P001,S001,Groceries,170,50.0,0.0,1.0,,
05-01-2023,P001,S001,Groceries,160,50.0,5.0,0.0,,
06-01-2023,P001,S001,Groceries,155,50.0,0.0,0.0,,
07-01-2023,P001,S001,Groceries,180,50.0,15.0,1.0,,
08-01-2023,P001,S001,Groceries,175,50.0,0.0,0.0,,
09-01-2023,P001,S001,Groceries,165,50.0,5.0,0.0,,
10-01-2023,P001,S001,Groceries,190,50.0,10.0,0.0,,
11-01-2023,P001,S001,Groceries,200,50.0,0.0,0.0,,
12-01-2023,P001,S001,Groceries,210,50.0,20.0,1.0,,
13-01-2023,P001,S001,Groceries,195,50.0,5.0,0.0,,
14-01-2023,P001,S001,Groceries,185,50.0,0.0,0.0,,
15-01-2023,P001,S001,Groceries,220,50.0,25.0,1.0,,
16-01-2023,P002,S002,Electronics,80,300.0,20.0,0.0,,
17-01-2023,P002,S002,Electronics,95,300.0,15.0,0.0,,
18-01-2023,P002,S002,Electronics,100,300.0,0.0,0.0,,
19-01-2023,P002,S002,Electronics,120,300.0,25.0,1.0,,
20-01-2023,P002,S002,Electronics,110,300.0,10.0,0.0,,
21-01-2023,P002,S002,Electronics,130,300.0,30.0,1.0,,
22-01-2023,P002,S002,Electronics,125,300.0,5.0,0.0,,
23-01-2023,P002,S002,Electronics,140,300.0,15.0,0.0,,
24-01-2023,P002,S002,Electronics,150,300.0,20.0,1.0,,
25-01-2023,P002,S002,Electronics,135,300.0,10.0,0.0,,
26-01-2023,P002,S002,Electronics,160,300.0,25.0,1.0,,
27-01-2023,P002,S002,Electronics,155,300.0,0.0,0.0,,
28-01-2023,P002,S002,Electronics,170,300.0,30.0,1.0,,
29-01-2023,P002,S002,Electronics,165,300.0,5.0,0.0,,
30-01-2023,P002,S002,Electronics,180,300.0,15.0,0.0,,
01-02-2023,P003,S003,Clothing,60,100.0,10.0,0.0,,
02-02-2023,P003,S003,Clothing,75,100.0,0.0,0.0,,
03-02-2023,P003,S003,Clothing,85,100.0,20.0,1.0,,
04-02-2023,P003,S003,Clothing,90,100.0,5.0,0.0,,
05-02-2023,P003,S003,Clothing,95,100.0,15.0,0.0,,
06-02-2023,P003,S003,Clothing,100,100.0,0.0,0.0,,
07-02-2023,P003,S003,Clothing,110,100.0,25.0,1.0,,
08-02-2023,P003,S003,Clothing,105,100.0,5.0,0.0,,
09-02-2023,P003,S003,Clothing,115,100.0,10.0,0.0,,
10-02-2023,P003,S003,Clothing,120,100.0,20.0,1.0,,
11-02-2023,P003,S003,Clothing,125,100.0,0.0,0.0,,
12-02-2023,P003,S003,Clothing,130,100.0,15.0,0.0,,
13-02-2023,P003,S003,Clothing,140,100.0,30.0,1.0,,
14-02-2023,P003,S003,Clothing,135,100.0,5.0,0.0,,
15-02-2023,P003,S003,Clothing,150,100.0,20.0,1.0,,
16-02-2023,P004,S004,Toys,40,80.0,5.0,0.0,,
17-02-2023,P004,S004,Toys,50,80.0,10.0,0.0,,
18-02-2023,P004,S004,Toys,55,80.0,0.0,0.0,,
19-02-2023,P004,S004,Toys,65,80.0,15.0,1.0,,
20-02-2023,P004,S004,Toys,70,80.0,5.0,0.0,,
21-02-2023,P004,S004,Toys,75,80.0,20.0,1.0,,
22-02-2023,P004,S004,Toys,80,80.0,10.0,0.0,,
23-02-2023,P004,S004,Toys,85,80.0,0.0,0.0,,
24-02-2023,P004,S004,Toys,90,80.0,15.0,1.0,,
25-02-2023,P004,S004,Toys,95,80.0,5.0,0.0,,
26-02-2023,P004,S004,Toys,100,80.0,20.0,1.0,,
27-02-2023,P004,S004,Toys,105,80.0,0.0,0.0,,
28-02-2023,P004,S004,Toys,110,80.0,10.0,0.0,,
01-03-2023,P005,S005,HomeAppliances,30,500.0,25.0,0.0,,
02-03-2023,P005,S005,HomeAppliances,35,500.0,10.0,0.0,,
03-03-2023,P005,S005,HomeAppliances,40,500.0,0.0,0.0,,
04-03-2023,P005,S005,HomeAppliances,50,500.0,30.0,1.0,,
05-03-2023,P005,S005,HomeAppliances,55,500.0,15.0,0.0,,
06-03-2023,P005,S005,HomeAppliances,60,500.0,20.0,1.0,,
07-03-2023,P005,S005,HomeAppliances,65,500.0,0.0,0.0,,
08-03-2023,P005,S005,HomeAppliances,70,500.0,25.0,1.0,,
09-03-2023,P005,S005,HomeAppliances,75,500.0,10.0,0.0,,
10-03-2023,P005,S005,HomeAppliances,80,500.0,5.0,0.0,,
11-03-2023,P005,S005,HomeAppliances,85,500.0,20.0,1.0,,
12-03-2023,P005,S005,HomeAppliances,90,500.0,15.0,0.0,,
13-03-2023,P005,S005,HomeAppliances,95,500.0,30.0,1.0,,
14-03-2023,P005,S005,HomeAppliances,100,500.0,10.0,0.0,,
15-03-2023,P005,S005,HomeAppliances,105,500.0,25.0,1.0,,
2026-01-01,P001,S001,,12,,,,P001,12.0
2026-01-02,P001,S001,,15,,,,P001,15.0
