date,product_id,store_id,category,units_sold,price,discount,holiday,units sold
2023-01-01,P001,S001,P001,120,50,5,0,120
2023-01-02,P001,S001,P001,135,50,0,0,135
2023-01-03,P001,S001,P001,150,50,10,0,150
2023-01-04,P001,S001,P001,170,50,0,1,170
2023-01-05,P001,S001,P001,160,50,5,0,160
2023-01-06,P001,S001,P001,155,50,0,0,155
2023-01-07,P001,S001,P001,180,50,15,1,180
2023-01-08,P001,S001,P001,175,50,0,0,175
2023-01-09,P001,S001,P001,165,50,5,0,165
2023-01-10,P001,S001,P001,190,50,10,0,190
2023-01-11,P001,S001,P001,200,50,0,0,200
2023-01-12,P001,S001,P001,210,50,20,1,210
2023-01-13,P001,S001,P001,195,50,5,0,195
2023-01-14,P001,S001,P001,185,50,0,0,185
2023-01-15,P001,S001,P001,220,50,25,1,220
2023-01-16,P002,S002,P002,80,300,20,0,80
2023-01-17,P002,S002,P002,95,300,15,0,95
2023-01-18,P002,S002,P002,100,300,0,0,100
2023-01-19,P002,S002,P002,120,300,25,1,120
2023-01-20,P002,S002,P002,110,300,10,0,110
2023-01-21,P002,S002,P002,130,300,30,1,130
2023-01-22,P002,S002,P002,125,300,5,0,125
2023-01-23,P002,S002,P002,140,300,15,0,140
2023-01-24,P002,S002,P002,150,300,20,1,150
2023-01-25,P002,S002,P002,135,300,10,0,135
2023-01-26,P002,S002,P002,160,300,25,1,160
2023-01-27,P002,S002,P002,155,300,0,0,155
2023-01-28,P002,S002,P002,170,300,30,1,170
2023-01-29,P002,S002,P002,165,300,5,0,165
2023-01-30,P002,S002,P002,180,300,15,0,180
2023-02-01,P003,S003,P003,60,100,10,0,60
2023-02-02,P003,S003,P003,75,100,0,0,75
2023-02-03,P003,S003,P003,85,100,20,1,85
2023-02-04,P003,S003,P003,90,100,5,0,90
2023-02-05,P003,S003,P003,95,100,15,0,95
2023-02-06,P003,S003,P003,100,100,0,0,100
2023-02-07,P003,S003,P003,110,100,25,1,110
2023-02-08,P003,S003,P003,105,100,5,0,105
2023-02-09,P003,S003,P003,115,100,10,0,115
2023-02-10,P003,S003,P003,120,100,20,1,120
2023-02-11,P003,S003,P003,125,100,0,0,125
2023-02-12,P003,S003,P003,130,100,15,0,130
2023-02-13,P003,S003,P003,140,100,30,1,140
2023-02-14,P003,S003,P003,135,100,5,0,135
2023-02-15,P003,S003,P003,150,100,20,1,150
2023-02-16,P004,S004,P004,40,80,5,0,40
2023-02-17,P004,S004,P004,50,80,10,0,50
2023-02-18,P004,S004,P004,55,80,0,0,55
2023-02-19,P004,S004,P004,65,80,15,1,65
2023-02-20,P004,S004,P004,70,80,5,0,70
2023-02-21,P004,S004,P004,75,80,20,1,75
2023-02-22,P004,S004,P004,80,80,10,0,80
2023-02-23,P004,S004,P004,85,80,0,0,85
2023-02-24,P004,S004,P004,90,80,15,1,90
2023-02-25,P004,S004,P004,95,80,5,0,95
2023-02-26,P004,S004,P004,100,80,20,1,100
2023-02-27,P004,S004,P004,105,80,0,0,105
2023-02-28,P004,S004,P004,110,80,10,0,110
2023-03-01,P005,S005,P005,30,500,25,0,30
2023-03-02,P005,S005,P005,35,500,10,0,35
2023-03-03,P005,S005,P005,40,500,0,0,40
2023-03-04,P005,S005,P005,50,500,30,1,50
2023-03-05,P005,S005,P005,55,500,15,0,55
2023-03-06,P005,S005,P005,60,500,20,1,60
2023-03-07,P005,S005,P005,65,500,0,0,65
2023-03-08,P005,S005,P005,70,500,25,1,70
2023-03-09,P005,S005,P005,75,500,10,0,75
2023-03-10,P005,S005,P005,80,500,5,0,80
2023-03-11,P005,S005,P005,85,500,20,1,85
2023-03-12,P005,S005,P005,90,500,15,0,90
2023-03-13,P005,S005,P005,95,500,30,1,95
2023-03-14,P005,S005,P005,100,500,10,0,100
2023-03-15,P005,S005,P005,105,500,25,1,105
